,nombre,direccion,estado,latitud,longitud,rating,num_personas_califican
0,Lapi Laboratorio Médico Suc. Encuentro Fortuna,"Av Fortuna 334, Magdalena de las Salinas, Ciudad de México","FVM8+8P Mexico City, Mexico",19.483355,-99.133225,2.7,79
1,Laboratorio Médico Polanco - Azcapotzalco,"Av. 16 de Septiembre N.°33, Colonia Azcapotzalco, Centro, Ciudad de México","FRH7+5J Mexico City, Mexico",19.4779779,-99.1858772,4.2,164
2,Medical Laboratory Branch Chopo- Azcapotzalco,"Rayon 14, Centro de Azcapotzalco, Ciudad de México","FRJ7+QR Mexico City, Mexico",19.4819965,-99.18542749999999,3.0,12
3,Laboratorio Médico del Chopo Tlatelolco,"Calz. de la Ronda 88, Ex Hipódromo de Peralvillo, Cuauhtémoc","FV46+6W Ex Hipódromo de Peralvillo, Mexico City, CDMX, Mexico",19.4555043,-99.13765389999999,4.8,8
4,Oximed,"Eje 3 Ote (Azúcar), Granjas México, Ciudad de México","CV3P+FH Mexico City, Mexico",19.4036596,-99.11350300000001,0.0,0
5,Quest Diagnostics CAP Lindavista,"Av Instituto Politécnico Nacional 1705, Lindavista, Ciudad de México","FVQ8+HG Mexico City, Mexico",19.4889016,-99.13359709999999,3.8,33
6,ProMédica Lab,"Av Ricarte 409, Lindavista Sur, Ciudad de México","FVQ7+HM Lindavista Sur, Mexico City, CDMX, Mexico",19.4888928,-99.1358748,5.0,10
7,Lapi Laboratorio Médico,"Félix Cuevas 374-Local 202, Tlacoquemecatl del Valle, Ciudad de México","9RFG+5W Mexico City, Mexico",19.372915,-99.1727313,3.5,40
8,Laboratorio Olarte y Akle Del Valle,"Parroquia # 406-Loc. 8, Del Valle, Ciudad de México","9RCG+56 Mexico City, Mexico",19.370393,-99.1743972,3.1,32
9,Mi Central Médica Amores,"Amores 1402, Col. Del Valle, Ciudad de México","9RFJ+9C Mexico City, Mexico",19.3734207,-99.1688769,0.0,0
10,RinovaLab,"Moras 359, Tlacoquemecatl del Valle, Ciudad de México","9RGG+2G Mexico City, Mexico",19.3751034,-99.173746,0.0,0
11,Pindel / Centro de Investigaciones Avanzadas en Composición Corporal,"Félix Cuevas 520-3er piso, Del Valle, Ciudad de México","9RCH+X7 Mexico City, Mexico",19.372429,-99.171849,1.0,1
12,Medica Móvil del Valle,"Av. Coyoacán 1878-int 102, Col. Del Valle, Ciudad de México","9R6H+M5 Mexico City, Mexico",19.3617459,-99.1720021,4.1,26
13,Salud Digna,"Av. Universidad 1338, Del Carmen, Ciudad de México","9R5H+94 Mexico City, Mexico",19.358477,-99.17215019999999,3.7,2087
14,MAGNUSMENTSG,"Av. Coyoacán 1971, Xoco, Ciudad de México","9R5H+PP Mexico City, Mexico",19.3592988,-99.1707361,0.0,0
15,Laboratorio Médico del Chopo San Rafael,"C. Maestro Antonio Caso 173, San Rafael, Ciudad de México","CRPM+79 Mexico City, Mexico",19.4356968,-99.1665845,3.4,38
16,Laboratorio Médico Barranca del Muerto,"Barranca del Muerto 412, Los Alpes, Ciudad de México","9R75+5W Mexico City, Mexico",19.3629719,-99.1901429,4.4,12
17,Laboratorio del sueño Neosomno,"Juan Tinoco 52, Merced Gómez, Ciudad de México","9R75+X6 Mexico City, Mexico",19.3648778,-99.1919089,5.0,1
18,Mini Laboratorio Latino,"Marina nacional y, C. Lago Guija 41, Tacuba, Ciudad de México","FR56+56 Mexico City, Mexico",19.4579288,-99.1894027,3.3,3
19,Quest Diagnostics CAP Lindavista,"Av Instituto Politécnico Nacional 1705, Lindavista, Ciudad de México","FVQ8+HG Mexico City, Mexico",19.4889016,-99.13359709999999,3.8,33
20,ProMédica Lab,"Av Ricarte 409, Lindavista Sur, Ciudad de México","FVQ7+HM Lindavista Sur, Mexico City, CDMX, Mexico",19.4888928,-99.1358748,5.0,10
21,Lapi Laboratorio Médico Suc. Encuentro Fortuna,"Av Fortuna 334, Magdalena de las Salinas, Ciudad de México","FVM8+8P Mexico City, Mexico",19.483355,-99.133225,2.7,79
22,Acceso Salud Guelatao,"Calz. Ignacio Zaragoza 2012-Local 3, Juan Escutia, Ciudad de México","9XP7+5W Juan Escutia, Mexico City, CDMX, Mexico",19.3854162,-99.0352463,5.0,9
23,Laboratory Consulting and Referral Service S.A. de C.V.,"Av. Pdte. Plutarco Elías Calles 334, Barrio de los Reyes, Ciudad de México","9VXP+56 Mexico City, Mexico",19.3979266,-99.114379,4.4,20
24,ARJ,"Cafetal 60, Granjas México, Ciudad de México","CV2Q+78 Mexico City, Mexico",19.4006897,-99.1116691,4.2,5
25,Laboratorio Médico del Chopo Tlatelolco,"Calz. de la Ronda 88, Ex Hipódromo de Peralvillo, Cuauhtémoc","FV46+6W Ex Hipódromo de Peralvillo, Mexico City, CDMX, Mexico",19.4555043,-99.13765389999999,4.8,8
26,Lapi Laboratorio Médico,"Félix Cuevas 374-Local 202, Tlacoquemecatl del Valle, Ciudad de México","9RFG+5W Mexico City, Mexico",19.372915,-99.1727313,3.5,40
27,Laboratorio Olarte y Akle Del Valle,"Parroquia # 406-Loc. 8, Del Valle, Ciudad de México","9RCG+56 Mexico City, Mexico",19.370393,-99.1743972,3.1,32
28,"Biomedical Reference, Del Valle","Av. Félix Cuevas 329-PB, Col del Valle Sur, Ciudad de México","9RFG+35 Mexico City, Mexico",19.372626,-99.17459699999999,3.9,43
29,RinovaLab,"Moras 359, Tlacoquemecatl del Valle, Ciudad de México","9RGG+2G Mexico City, Mexico",19.3751034,-99.173746,0.0,0
30,Pindel / Centro de Investigaciones Avanzadas en Composición Corporal,"Félix Cuevas 520-3er piso, Del Valle, Ciudad de México","9RCH+X7 Mexico City, Mexico",19.372429,-99.171849,1.0,1
31,Laboratorio Médico del Chopo Tlatelolco,"Calz. de la Ronda 88, Ex Hipódromo de Peralvillo, Cuauhtémoc","FV46+6W Ex Hipódromo de Peralvillo, Mexico City, CDMX, Mexico",19.4555043,-99.13765389999999,4.8,8
32,Laboratorios Goñis S De Rl De Cv,"Sevilla 501, Portales Nte, Ciudad de México","9R9X+67 Mexico City, Mexico",19.3680639,-99.1518136,0.0,0
